iter	Passed	Remaining
703	7294	3066
704	7303	3056
705	7314	3045
706	7323	3035
707	7336	3025
708	7347	3015
709	7357	3005
710	7367	2994
711	7377	2984
712	7386	2973
713	7395	2962
714	7404	2951
715	7413	2940
716	7424	2930
717	7433	2919
718	7442	2908
719	7451	2897
720	7461	2887
721	7473	2877
722	7486	2868
723	7496	2857
724	7506	2847
725	7515	2836
726	7525	2825
727	7534	2815
728	7543	2804
729	7552	2793
730	7561	2782
731	7572	2772
732	7581	2761
733	7590	2750
734	7599	2740
735	7608	2729
736	7617	2718
737	7627	2707
738	7636	2696
739	7646	2686
740	7655	2675
741	7666	2665
742	7677	2655
743	7691	2646
744	7705	2637
745	7716	2627
746	7729	2617
747	7740	2607
748	7750	2597
749	7761	2587
750	7772	2576
751	7781	2566
752	7792	2555
753	7802	2545
754	7812	2535
755	7821	2524
756	7830	2513
757	7838	2502
758	7848	2492
759	7857	2481
760	7866	2470
761	7874	2459
762	7883	2448
763	7892	2438
764	7901	2427
765	7911	2416
766	7920	2406
767	7934	2396
768	7943	2386
769	7952	2375
770	7964	2365
771	7973	2354
772	7982	2344
773	7991	2333
774	7999	2322
775	8009	2312
776	8019	2301
777	8030	2291
778	8039	2280
779	8048	2270
780	8057	2259
781	8066	2248
782	8074	2237
783	8087	2228
784	8100	2218
785	8109	2207
786	8118	2197
787	8127	2186
788	8136	2175
789	8146	2165
790	8155	2154
791	8163	2144
792	8172	2133
793	8181	2122
794	8190	2112
795	8199	2101
796	8208	2090
797	8217	2080
798	8227	2069
799	8236	2059
800	8245	2048
801	8254	2038
802	8264	2027
803	8273	2016
804	8282	2006
805	8290	1995
806	8299	1984
807	8310	1974
808	8324	1965
809	8335	1955
810	8344	1944
811	8353	1934
812	8363	1923
813	8371	1912
814	8381	1902
815	8390	1891
816	8399	1881
817	8409	1871
818	8418	1860
819	8427	1849
820	8436	1839
821	8445	1828
822	8455	1818
823	8464	1807
824	8473	1797
825	8482	1786
826	8490	1776
827	8499	1765
828	8509	1755
829	8519	1744
830	8527	1734
831	8536	1723
832	8545	1713
833	8554	1702
834	8563	1692
835	8572	1681
836	8581	1671
837	8590	1660
838	8600	1650
839	8609	1639
840	8618	1629
841	8627	1619
842	8637	1608
843	8646	1598
844	8655	1587
845	8664	1577
846	8673	1566
847	8682	1556
848	8690	1545
849	8699	1535
850	8708	1524
851	8717	1514
852	8732	1504
853	8741	1494
854	8750	1484
855	8760	1473
856	8769	1463
857	8778	1452
858	8787	1442
859	8796	1432
860	8805	1421
861	8814	1411
862	8824	1400
863	8834	1390
864	8845	1380
865	8856	1370
866	8867	1360
867	8877	1350
868	8888	1339
869	8899	1329
870	8911	1319
871	8920	1309
872	8930	1299
873	8940	1288
874	8954	1279
875	8965	1269
876	8974	1258
877	8983	1248
878	8993	1237
879	9002	1227
880	9012	1217
881	9021	1206
882	9030	1196
883	9040	1186
884	9052	1176
885	9063	1166
886	9076	1156
887	9087	1146
888	9099	1136
889	9110	1126
890	9121	1115
891	9131	1105
892	9143	1095
893	9155	1085
894	9166	1075
895	9180	1065
896	9195	1055
897	9205	1045
898	9215	1035
899	9224	1024
900	9233	1014
901	9242	1004
902	9252	993
903	9262	983
904	9271	973
905	9281	963
906	9290	952
907	9299	942
908	9309	931
909	9318	921
910	9327	911
911	9336	900
912	9344	890
913	9354	880
914	9363	869
915	9373	859
916	9382	849
917	9392	838
918	9401	828
919	9409	818
920	9419	807
921	9428	797
922	9436	787
923	9445	776
924	9455	766
925	9463	756
926	9473	745
927	9482	735
928	9490	725
929	9500	715
930	9509	704
931	9519	694
932	9528	684
933	9537	673
934	9546	663
935	9555	653
936	9565	643
937	9574	632
938	9583	622
939	9592	612
940	9601	602
941	9610	591
942	9620	581
943	9629	571
944	9637	560
945	9646	550
946	9656	540
947	9665	530
948	9674	519
949	9683	509
950	9692	499
951	9701	489
952	9710	478
953	9720	468
954	9730	458
955	9740	448
956	9751	438
957	9761	427
958	9771	417
959	9782	407
960	9792	397
961	9803	387
962	9813	377
963	9823	366
964	9835	356
965	9847	346
966	9858	336
967	9873	326
968	9883	316
969	9893	305
970	9902	295
971	9911	285
972	9920	275
973	9930	265
974	9939	254
975	9947	244
976	9960	234
977	9969	224
978	9978	214
979	9989	203
980	9999	193
981	10009	183
982	10020	173
983	10030	163
984	10041	152
985	10052	142
986	10064	132
987	10074	122
988	10084	112
989	10093	101
990	10103	91
991	10113	81
992	10123	71
993	10132	61
994	10141	50
995	10150	40
996	10159	30
997	10168	20
998	10179	10
999	10189	0
